signal,dir,n,per_day,winrate_%,timeout_%,exp_R,comm_R,exp_R_net
h_london_1st,short,342,6.0,58.8,0.0,0.1754,0.1593,0.0161
bb_ext_high,short,464,8.14,56.7,0.0,0.1336,0.1623,-0.0287
sess_ignite_dn,short,20,0.35,55.0,0.0,0.1,0.1303,-0.0303
h_ny_1st,short,342,6.0,52.6,0.0,0.0526,0.1176,-0.065
down_asym_cont,short,76,1.33,53.9,0.0,0.0789,0.1449,-0.0659
pb_ema21_dn,short,1009,17.7,53.0,0.0,0.0605,0.1597,-0.0993
streak_up4,short,776,13.61,52.8,0.0,0.0567,0.165,-0.1083
dn_wick_extreme,long,224,3.93,52.2,0.0,0.0446,0.1578,-0.1131
asia_fade_up,short,537,9.42,51.2,0.0,0.0242,0.1426,-0.1184
rsi2_high,short,936,16.42,51.8,0.0,0.0363,0.1649,-0.1286
round_bounce,long,122,2.14,50.8,0.0,0.0164,0.1461,-0.1297
m1_path_dn,short,2643,46.37,51.5,0.0,0.0299,0.1634,-0.1335
above_day_open,long,270,4.74,51.5,0.0,0.0296,0.1671,-0.1375
up_wick_extreme,short,147,2.58,51.0,0.0,0.0204,0.158,-0.1376
mom3_dn,short,1335,23.42,50.9,0.0,0.0187,0.1645,-0.1458
inside_break_dn,short,395,6.93,50.9,0.0,0.0177,0.1645,-0.1468
ll12_break,short,910,15.96,50.4,0.0,0.0088,0.1569,-0.1481
nr7_break_dn,short,767,13.46,50.6,0.0,0.0117,0.1637,-0.152
marubozu_up,long,207,3.63,50.2,0.0,0.0048,0.16,-0.1552
up_asym_ctrl,long,81,1.42,49.4,0.0,-0.0123,0.1457,-0.158
marubozu_dn,short,200,3.51,50.0,0.0,0.0,0.1588,-0.1588
streak_dn4,long,854,14.98,50.2,0.0,0.0047,0.1652,-0.1605
rsi2_low,long,992,17.4,50.1,0.0,0.002,0.1641,-0.1621
nr7_break_up,long,741,13.0,50.1,0.0,0.0013,0.1665,-0.1651
vwap_ext_low,long,3091,54.23,49.9,0.0,-0.0029,0.1641,-0.167
h_ny_1st,long,342,6.0,47.4,0.0,-0.0526,0.1176,-0.1703
below_day_open,short,271,4.75,49.8,0.0,-0.0037,0.1704,-0.1741
dc20_hivol_dn,short,279,4.89,47.7,0.0,-0.0466,0.1293,-0.1759
ret_z_up,short,214,3.75,47.7,0.0,-0.0467,0.1306,-0.1773
big_green_bar,short,238,4.18,48.7,0.0,-0.0252,0.1533,-0.1785
round_reject,short,117,2.05,47.9,0.0,-0.0427,0.14,-0.1827
squeeze_rel_dn,short,124,2.18,51.6,0.0,0.0323,0.2154,-0.1831
bb_ext_low,long,555,9.74,48.8,0.0,-0.0234,0.1621,-0.1855
clv_lo2,short,146,2.56,48.6,0.0,-0.0274,0.1642,-0.1916
ret_z_down,long,194,3.4,46.9,0.0,-0.0619,0.1333,-0.1952
dc20_hivol_up,long,273,4.79,46.5,0.0,-0.0696,0.1275,-0.1971
inside_break_up,long,369,6.47,48.0,0.0,-0.0407,0.1647,-0.2054
m1_path_up,long,2523,44.26,47.4,0.0,-0.0527,0.1637,-0.2164
vwap_ext_high,short,2729,47.88,47.7,0.0,-0.0458,0.1731,-0.2189
pb_ema21_up,long,801,14.05,47.4,0.0,-0.0512,0.1703,-0.2215
big_red_bar,long,250,4.39,46.8,0.0,-0.064,0.1611,-0.2251
mom3_up,long,1232,21.61,46.3,0.0,-0.0731,0.1651,-0.2382
clv_hi2,long,195,3.42,45.6,0.0,-0.0872,0.1646,-0.2518
asia_fade_dn,long,756,13.26,44.8,0.0,-0.1032,0.1489,-0.2521
hh12_break,long,801,14.05,44.3,0.0,-0.1136,0.1551,-0.2687
squeeze_rel_up,long,96,1.68,46.9,0.0,-0.0625,0.2141,-0.2766
h_london_1st,long,342,6.0,41.2,0.0,-0.1754,0.1593,-0.3348
sess_ignite_up,long,19,0.33,36.8,0.0,-0.2632,0.1535,-0.4166
