signal,dir,n,per_day,winrate_%,timeout_%,exp_R,comm_R,exp_R_net
clv_lo2,short,41,2.93,58.5,100.0,0.2531,0.0795,0.1736
marubozu_dn,short,40,2.86,47.5,100.0,0.2126,0.0861,0.1265
ret_z_up,short,66,4.71,56.1,100.0,0.138,0.059,0.079
squeeze_rel_dn,short,37,2.64,59.5,100.0,0.1815,0.1026,0.0788
vwap_ext_high,short,507,36.21,60.9,100.0,0.1462,0.0795,0.0667
asia_fade_up,short,131,9.36,60.3,100.0,0.1294,0.0693,0.0601
h_ny_1st,long,90,6.43,46.7,100.0,0.1146,0.0601,0.0545
down_asym_cont,short,14,1.0,50.0,100.0,0.1249,0.0787,0.0461
below_day_open,short,60,4.29,51.7,100.0,0.1249,0.0869,0.038
inside_break_dn,short,94,6.71,61.7,100.0,0.1202,0.084,0.0362
inside_break_up,long,103,7.36,58.3,100.0,0.117,0.0832,0.0338
dc20_hivol_dn,short,48,3.43,47.9,100.0,0.0859,0.0609,0.0251
h_london_1st,short,90,6.43,51.1,100.0,0.0984,0.0773,0.0211
mom3_dn,short,376,26.86,52.7,100.0,0.1023,0.0838,0.0185
marubozu_up,long,57,4.07,54.4,100.0,0.0882,0.0702,0.018
ll12_break,short,236,16.86,51.7,100.0,0.0806,0.0781,0.0025
hh12_break,long,204,14.57,46.6,100.0,0.073,0.0745,-0.0015
up_wick_extreme,short,33,2.36,57.6,100.0,0.0833,0.0883,-0.0049
pb_ema21_dn,short,241,17.21,51.5,100.0,0.0687,0.0806,-0.0118
dn_wick_extreme,long,57,4.07,47.4,100.0,0.0623,0.0847,-0.0224
m1_path_dn,short,718,51.29,53.3,100.0,0.0535,0.0807,-0.0271
big_green_bar,short,73,5.21,53.4,100.0,0.0408,0.0721,-0.0312
up_asym_ctrl,long,26,1.86,46.2,100.0,0.008,0.0602,-0.0523
mom3_up,long,313,22.36,44.1,100.0,0.0172,0.0793,-0.0621
m1_path_up,long,642,45.86,48.6,100.0,0.0131,0.0803,-0.0672
rsi2_low,long,297,21.21,49.5,100.0,-0.0003,0.0821,-0.0824
rsi2_high,short,215,15.36,51.6,100.0,-0.0108,0.076,-0.0868
above_day_open,long,60,4.29,50.0,100.0,-0.0057,0.0835,-0.0892
streak_dn4,long,237,16.93,48.1,100.0,-0.009,0.0805,-0.0895
round_bounce,long,26,1.86,50.0,100.0,-0.0245,0.0704,-0.0949
streak_up4,short,180,12.86,50.0,100.0,-0.0148,0.082,-0.0968
nr7_break_up,long,186,13.29,47.8,100.0,-0.023,0.0828,-0.1058
pb_ema21_up,long,240,17.14,47.9,100.0,-0.0261,0.0833,-0.1094
clv_hi2,long,54,3.86,38.9,100.0,-0.032,0.0778,-0.1099
nr7_break_dn,short,199,14.21,49.7,100.0,-0.0343,0.0831,-0.1175
dc20_hivol_up,long,60,4.29,43.3,100.0,-0.0631,0.0614,-0.1245
big_red_bar,long,62,4.43,50.0,100.0,-0.0498,0.0819,-0.1317
bb_ext_high,short,144,10.29,52.1,100.0,-0.073,0.0738,-0.1468
h_ny_1st,short,90,6.43,53.3,100.0,-0.1146,0.0601,-0.1747
h_london_1st,long,90,6.43,48.9,100.0,-0.0984,0.0773,-0.1757
ret_z_down,long,43,3.07,51.2,100.0,-0.1282,0.0672,-0.1954
sess_ignite_up,long,7,0.5,42.9,100.0,-0.1575,0.0555,-0.213
vwap_ext_low,long,993,70.93,47.1,100.0,-0.1328,0.0825,-0.2154
bb_ext_low,long,153,10.93,45.1,100.0,-0.1547,0.0837,-0.2384
asia_fade_dn,long,202,14.43,46.0,100.0,-0.1728,0.0677,-0.2405
round_reject,short,21,1.5,47.6,100.0,-0.2635,0.0743,-0.3378
sess_ignite_dn,short,4,0.29,50.0,100.0,-0.4124,0.068,-0.4805
squeeze_rel_up,long,25,1.79,36.0,100.0,-0.4764,0.1079,-0.5843
